fldID;fldDate;fldIDMatch;fldTournament;fldTeam1;fldTeam2;fldInfo;fldElapsedTime;fldScore1;fldScore2;fldCoef1;fldCoefX;fldCoef2;fldTotal;fldCoefTotalOver;fldYellowCard1;fldYellowCard2;fldRedCard1;fldRedCard2;fldCorner1;fldCorner2;fldShotsOn1;fldShotsOn2;fldShotsOff1;fldShotsOff2;fldAttacks1;fldAttacks2;fldDanAttacks1;fldDanAttacks2;fldPenalty1;fldPenalty2;fldFreeKick1;fldFreeKick2;fldSub1;fldSub2;fldScoreResult1;fldScoreResult2;fldResult
251329;29.10.2022;408183332;Чемпионат Англии. Южная Национальная лига;Уэллинг Юнайтед;Хангерфорд Таун;Чемпионат Англии. Южная Национальная лига Уэллинг Юнайтед Хангерфорд Таун;4734;1;0;1.159999967;5.789999962;31;1.5;2.589999914;1;2;0;0;1;4;5;3;13;6;80;68;77;73;1;0;18;13;0;0;1;0;0
148442;24.10.2022;407026945;Чемпионат Сербии. 1-я лига;Нови-Сад;Рад;Чемпионат Сербии. 1-я лига Нови-Сад Рад;4779;2;0;1.00999999;21;32;2.5;2.619999886;3;3;0;0;2;1;4;4;3;7;141;134;52;75;1;0;18;19;0;0;2;0;0
200836;28.10.2022;407851682;Чемпионат Чехии. Третья лига;Кралув Двур;Локо Влтавин;Чемпионат Чехии. Третья лига Кралув Двур Локо Влтавин;4737;0;1;18.5;4.650000095;1.24000001;1.5;2.079999924;2;0;0;0;3;1;6;4;4;4;133;102;60;46;1;0;24;21;0;0;0;1;0
351499;02.11.2022;409138412;Чемпионат Бразилии. Лига Минейро до 20 лет;Крузейро (20);Интер де Минас (20);Чемпионат Бразилии. Лига Минейро до 20 лет Крузейро (20) Интер де Минас (20);4750;1;1;3.559999943;1.559999943;6.730000019;2.5;2.305000067;3;1;0;0;0;6;2;1;3;5;60;70;29;53;1;0;11;20;3;2;1;1;0
194237;27.10.2022;407715980;Лига Конференций УЕФА;Фиорентина;Истанбул Башакшехир;Лига Конференций УЕФА Фиорентина Истанбул Башакшехир;4719;2;1;1.085000038;8;62;3.5;2.5;1;3;0;0;4;0;4;1;5;3;95;59;37;14;0;0;12;20;3;4;2;1;0
26476;22.10.2022;406382832;Чемпионат Бразилии. Серия B;Шапекоэнсе;Томбенсе;Чемпионат Бразилии. Серия B Шапекоэнсе Томбенсе;4708;3;2;1.090000033;8.06000042;34;5.5;2.269999981;2;3;0;0;7;1;6;5;8;8;100;45;64;24;0;0;19;10;2;3;3;2;0
131378;23.10.2022;406848281;Чемпионат Испании. Третий дивизион RFEF;АД Ллерененсе;УД Фуенте де Кантос;Чемпионат Испании. Третий дивизион RFEF АД Ллерененсе УД Фуенте де Кантос;4753;1;0;1.080000043;9.039999962;34;1.5;2.789999962;2;3;0;0;4;3;2;0;8;4;69;66;35;25;0;0;31;24;0;0;1;0;0
178148;26.10.2022;407447323;Чемпионат Словакии. Вторая лига;Дольни-Кубин;Петржалка;Чемпионат Словакии. Вторая лига Дольни-Кубин Петржалка;4725;0;1;30;5.900000095;1.159999967;1.5;2.230000019;0;2;0;0;2;5;3;4;8;9;99;110;73;88;0;0;24;25;0;0;0;2;1
53312;22.10.2022;406520617;Чемпионат Германии. 3-я Бундеслига;Динамо Дрезден;Саарбрюккен;Чемпионат Германии. 3-я Бундеслига Динамо Дрезден Саарбрюккен;4732;1;2;41;4.349999905;1.230000019;3.5;2.440000057;2;2;0;0;6;4;2;3;3;1;94;74;57;42;1;1;19;16;2;4;1;2;0
119686;23.10.2022;406807300;Чемпионат Франции. Молодежное первенство;Бур-ан-Бресс Перонна (19);Лион (19);Чемпионат Франции. Молодежное первенство Бур-ан-Бресс Перонна (19) Лион (19);4756;2;2;4.869999886;1.610000014;4.099999905;4.5;2.210000038;3;1;0;0;3;7;9;3;3;8;69;67;45;32;0;0;20;27;0;0;3;4;1
224643;29.10.2022;408093775;Чемпионат Израиля до 19 лет;Хапоэль Рамат-Ган (19);Маккаби Петах-Тиква (19);Чемпионат Израиля до 19 лет Хапоэль Рамат-Ган (19) Маккаби Петах-Тиква (19);4747;1;1;7.059999943;1.570000052;3.460000038;2.5;2.180000067;0;1;0;0;3;6;1;1;5;9;64;95;47;68;0;0;11;14;0;0;1;2;1
119681;23.10.2022;406808605;Чемпионат Словении. Вторая лига;НК Фузинар;НК Емми Быстрица;Чемпионат Словении. Вторая лига НК Фузинар НК Емми Быстрица;4723;0;0;4.150000095;1.5;6.21999979;0.5;2.440000057;3;1;0;0;7;2;7;5;5;4;127;110;80;51;0;0;14;17;0;0;1;1;1
188190;27.10.2022;407575137;Чемпионат Бразилии. Серия A;Гояс;Америка Минейро;Чемпионат Бразилии. Серия A Гояс Америка Минейро;4747;1;1;6.619999886;1.539999962;4.239999771;2.5;2.450000048;2;1;0;0;2;8;3;5;6;8;82;100;31;43;0;1;30;18;3;2;2;2;1
260482;29.10.2022;408236526;Чемпионат Испании. Второй дивизион RFEF;Льейда;Олот;Чемпионат Испании. Второй дивизион RFEF Льейда Олот;4708;0;0;3.920000076;1.399999976;9.93999958;0.5;2.950000048;2;3;0;0;3;3;3;2;5;4;112;96;55;24;0;0;15;21;0;0;0;1;1
288057;30.10.2022;408412232;Чемпионат Польши. Лига 2;Шленск II;Сиярка;Чемпионат Польши. Лига 2 Шленск II Сиярка;4788;0;0;5.070000172;1.50999999;4.75;0.5;2.359999895;2;1;0;0;0;1;1;0;8;4;96;101;51;73;0;1;10;9;2;4;0;0;0
198428;28.10.2022;407774257;Бразилия. Кубок Верде;Гояс;Реал Нороэст Капиксаба;Бразилия. Кубок Верде Гояс Реал Нороэст Капиксаба;4724;1;2;16;3.410000086;1.399999976;3.5;2.180000067;3;1;0;0;5;1;5;2;6;4;89;79;32;21;1;0;17;33;0;0;2;2;1
